trt,year,cored,block,audpc,cuberoot
1,1,Not,1,0,0
1,1,Not,2,19.75,2.703060088
1,1,Not,3,28,3.036588972
1,1,Not,4,13.25,2.366311746
1,1,Yes,1,97.75,4.606512515
1,1,Yes,2,0,0
1,1,Yes,3,36.5,3.317143718
1,1,Yes,4,0,0
1,2,Not,1,0,0
1,2,Not,2,0,0
1,2,Not,3,0,0
1,2,Not,4,0,0
1,2,Yes,3,0,0
1,2,Yes,4,0,0
1,2,Yes,1,25.5,2.943382658
1,2,Yes,2,0,0
2,1,Not,1,178.75,5.633115857
2,1,Not,2,73.75,4.193603263
2,1,Not,3,249,6.291194552
2,1,Not,4,185.75,5.705708859
2,1,Yes,1,410,7.428958841
2,1,Yes,2,63,3.979057208
2,1,Yes,3,102.75,4.68375256
2,1,Yes,4,60,3.914867641
2,2,Not,1,0,0
2,2,Not,2,0,0
2,2,Yes,1,94,4.546835944
2,2,Yes,2,0,0
2,2,Yes,3,0,0
2,2,Yes,4,0,0
2,2,Not,3,0,0
2,2,Not,4,10.8,2.210418899
3,1,Not,1,130.5,5.072283322
3,1,Not,2,310.5,6.771536153
3,1,Not,3,851.75,9.479178776
3,1,Not,4,937.75,9.788038996
3,1,Yes,1,280,6.54213262
3,1,Yes,2,295.25,6.658810189
3,1,Yes,3,576.75,8.323944983
3,1,Yes,4,1108.75,10.35009996
3,2,Yes,1,0,0
3,2,Yes,4,0,0
3,2,Not,2,40.25,3.427062001
3,2,Yes,2,0,0
3,2,Yes,3,0,0
3,2,Not,1,0,0
3,2,Not,3,0,0
3,2,Not,4,0,0
4,1,Not,1,368.5,7.169339788
4,1,Not,2,1032.75,10.10799615
4,1,Not,3,650.5,8.66461161
4,1,Not,4,512.25,8.001301871
4,1,Yes,1,352,7.060696671
4,1,Yes,2,604.25,8.454194199
4,1,Yes,3,597.75,8.423770539
4,1,Yes,4,508.25,7.980420871
4,2,Yes,1,0,0
4,2,Not,1,10.75,2.207002481
4,2,Not,2,40.5,3.434142728
4,2,Not,3,0,0
4,2,Not,4,22.5,2.823108087
4,2,Yes,3,0,0
4,2,Yes,4,22.25,2.812613164
4,2,Yes,2,0,0
5,1,Not,1,2061.25,12.72653637
5,1,Not,2,574,8.310694107
5,1,Not,3,1431,11.26885726
5,1,Not,4,419,7.482924114
5,1,Yes,1,775.25,9.186440327
5,1,Yes,2,486,7.862224183
5,1,Yes,3,1230.5,10.71586432
5,1,Yes,4,773.25,9.178533758
5,2,Not,3,15,2.466212074
5,2,Not,1,3.75,1.553616253
5,2,Not,2,25.75,2.952970292
5,2,Yes,1,29,3.072316826
5,2,Yes,2,48.75,3.653071787
5,2,Yes,3,3.75,1.553616253
5,2,Yes,4,0,0
5,2,Not,4,0,0
6,1,Not,1,201,5.857766003
6,1,Not,2,749.75,9.084593341
6,1,Not,3,120,4.932424149
6,1,Not,4,866.75,9.534500593
6,1,Yes,1,297.25,6.673811784
6,1,Yes,2,1057.25,10.18730318
6,1,Yes,3,72.75,4.174562805
6,1,Yes,4,336.5,6.95550002
6,2,Yes,1,0,0
6,2,Yes,2,0,0
6,2,Yes,4,0,0
6,2,Not,2,0,0
6,2,Not,3,84.5,4.388191478
6,2,Yes,3,3.75,1.553616253
6,2,Not,1,0,0
6,2,Not,4,0,0
7,1,Not,1,511.5,7.997394985
7,1,Not,2,807.75,9.313058312
7,1,Not,3,1099.25,10.32045453
7,1,Not,4,732.75,9.015405713
7,1,Yes,1,890.25,9.619902287
7,1,Yes,2,657,8.693375853
7,1,Yes,3,358.25,7.102240911
7,1,Yes,4,907.75,9.682527799
7,2,Yes,1,269.5,6.459311911
7,2,Yes,2,0,0
7,2,Not,1,22,2.802039331
7,2,Not,2,3.75,1.553616253
7,2,Not,3,3.75,1.553616253
7,2,Not,4,14.5,2.438499481
7,2,Yes,3,0,0
7,2,Yes,4,3.75,1.553616253
8,1,Not,1,1189.5,10.59550064
8,1,Not,2,1842.5,12.25939859
8,1,Not,3,2026.75,12.65513339
8,1,Not,4,902.5,9.663825298
8,1,Yes,1,1922.5,12.43432219
8,1,Yes,2,1067,10.21852331
8,1,Yes,3,2487.25,13.5489762
8,1,Yes,4,859,9.505998059
8,2,Not,3,223.5,6.068655844
8,2,Not,4,458,7.708238778
8,2,Not,1,7.5,1.957433821
8,2,Not,2,192,5.768998281
8,2,Yes,1,22,2.802039331
8,2,Yes,2,103.25,4.691337598
8,2,Yes,3,133.5,5.1108573
8,2,Yes,4,93.5,4.538759842
