Block,TRT,Cored,AUDPC,Response,Month
1,1,Non,5121.7125,35,1
2,1,Non,3971.0125,27,1
3,1,Non,4303.0625,38,1
4,1,Non,4115.9,30,1
1,2,Non,4838.0875,35,1
2,2,Non,4241.5875,32,1
3,2,Non,3770.975,31,1
4,2,Non,4074.575,30,1
1,3,Non,4802.95,37,1
2,3,Non,4182.125,33,1
3,3,Non,5330.4,42,1
4,3,Non,4836.9,42,1
1,4,Non,5135.725,39,1
2,4,Non,4147.3625,32,1
3,4,Non,4522.3625,39,1
4,4,Non,3988.575,30,1
1,5,Non,6038.25,42,1
2,5,Non,6090.4875,44,1
3,5,Non,5298.35,43,1
4,5,Non,4748,38,1
1,6,Non,5959.4625,43,1
2,6,Non,4341.3125,41,1
3,6,Non,4355.4375,32,1
4,6,Non,4707.425,41,1
1,7,Non,5000.7,36,1
2,7,Non,4295.6375,37,1
3,7,Non,4482.25,41,1
4,7,Non,4096,34,1
1,8,Non,6463.1,47,1
2,8,Non,4618.225,42,1
3,8,Non,4140.775,36,1
4,8,Non,4567.05,34,1
1,1,Oui,4495.25,33,1
2,1,Oui,4482.225,33,1
3,1,Oui,4067.15,34,1
4,1,Oui,4388.1125,33,1
1,2,Oui,4079.775,36,1
2,2,Oui,4110.65,32,1
3,2,Oui,3921.5125,32,1
4,2,Oui,4119.6,33,1
1,3,Oui,4624.8,39,1
2,3,Oui,4299.1,34,1
3,3,Oui,5021.925,40,1
4,3,Oui,4461.8,37,1
1,4,Oui,4129.65,36,1
2,4,Oui,4336.8375,34,1
3,4,Oui,3766.0125,33,1
4,4,Oui,4248.8375,36,1
1,5,Oui,5024.5375,39,1
2,5,Oui,5229.075,43,1
3,5,Oui,4258.125,37,1
4,5,Oui,4577.1625,39,1
1,6,Oui,5436.175,43,1
2,6,Oui,4132.7625,40,1
3,6,Oui,4617.975,38,1
4,6,Oui,4653.725,40,1
1,7,Oui,4417.025,36,1
2,7,Oui,4154.0375,36,1
3,7,Oui,3797.0625,35,1
4,7,Oui,4335.4,39,1
1,8,Oui,6248.825,47,1
2,8,Oui,4133.725,39,1
3,8,Oui,4344.5375,34,1
4,8,Oui,4405.25,35,1
1,1,Non,5121.7125,33,2
2,1,Non,3971.0125,25,2
3,1,Non,4303.0625,27,2
4,1,Non,4115.9,29,2
1,2,Non,4838.0875,29,2
2,2,Non,4241.5875,18,2
3,2,Non,3770.975,22,2
4,2,Non,4074.575,28,2
1,3,Non,4802.95,32,2
2,3,Non,4182.125,28,2
3,3,Non,5330.4,37,2
4,3,Non,4836.9,38,2
1,4,Non,5135.725,33,2
2,4,Non,4147.3625,24,2
3,4,Non,4522.3625,33,2
4,4,Non,3988.575,27,2
