Block,TRT,Cored,AUDPC,Response,Month
1,1,Non,4922.6875,26,1
2,1,Non,3915.75,25,1
3,1,Non,4700.25,30,1
4,1,Non,4798.075,31,1
1,2,Non,4266.0125,30,1
2,2,Non,5123.7792,37,1
3,2,Non,4961.75,35,1
4,2,Non,4710.2,33,1
1,3,Non,5091.575,33,1
2,3,Non,4837.6125,34,1
3,3,Non,4906.0875,35,1
4,3,Non,4365.4,26,1
1,4,Non,4598.25,26,1
2,4,Non,4794,29,1
3,4,Non,5415.35,36,1
4,4,Non,4580.5,29,1
1,5,Non,5043.875,33,1
2,5,Non,5105.875,34,1
3,5,Non,5545.1875,37,1
4,5,Non,5571.2375,39,1
1,6,Non,4295.4375,26,1
2,6,Non,4250.3375,31,1
3,6,Non,4894.9375,33,1
4,6,Non,4590.1375,33,1
1,7,Non,4463.1875,29,1
2,7,Non,4997.5,34,1
3,7,Non,5499.85,39,1
4,7,Non,5473,38,1
1,8,Non,5621.05,39,1
2,8,Non,5598.8875,39,1
3,8,Non,5159.6125,26,1
4,8,Non,5754.025,40,1
1,1,Oui,4151.475,23,1
2,1,Oui,5527.5375,40,1
3,1,Oui,4484.8375,34,1
4,1,Oui,4191.3125,28,1
1,2,Oui,4409.375,32,1
2,2,Oui,6165.1625,45,1
3,2,Oui,6235.9375,42,1
4,2,Oui,4532.6875,35,1
1,3,Oui,4992.6,28,1
2,3,Oui,5366.1,40,1
3,3,Oui,5261.275,38,1
4,3,Oui,4914.4375,39,1
1,4,Oui,4188.4125,23,1
2,4,Oui,5006.65,34,1
3,4,Oui,6205.5125,39,1
4,4,Oui,4469.6625,31,1
1,5,Oui,4030.475,32,1
2,5,Oui,5533.225,42,1
3,5,Oui,6065.9375,43,1
4,5,Oui,4290.5375,34,1
1,6,Oui,4371.5875,27,1
2,6,Oui,5275.1375,41,1
3,6,Oui,5370.0875,38,1
4,6,Oui,4301.325,29,1
1,7,Oui,5184.0875,39,1
2,7,Oui,5215.9125,37,1
3,7,Oui,5685.025,41,1
4,7,Oui,5018.0625,33,1
1,8,Oui,4076.6375,30,1
2,8,Oui,5360.7625,37,1
3,8,Oui,5549.175,37,1
4,8,Oui,4998.375,35,1
1,1,Non,4922.6875,35,2
2,1,Non,3915.75,23,2
3,1,Non,4700.25,26,2
4,1,Non,4798.075,30,2
1,2,Non,4266.0125,27,2
2,2,Non,5123.7792,35,2
3,2,Non,4961.75,35,2
4,2,Non,4710.2,32,2
1,3,Non,5091.575,38,2
2,3,Non,4837.6125,32,2
3,3,Non,4906.0875,33,2
4,3,Non,4365.4,30,2
1,4,Non,4598.25,32,2
2,4,Non,4794,30,2
3,4,Non,5415.35,35,2
4,4,Non,4580.5,29,2
1,5,Non,5043.875,34,2
2,5,Non,5105.875,34,2
3,5,Non,5545.1875,37,2
4,5,Non,5571.2375,38,2
1,6,Non,4295.4375,29,2
2,6,Non,4250.3375,27,2
3,6,Non,4894.9375,30,2
4,6,Non,4590.1375,30,2
1,7,Non,4463.1875,32,2
2,7,Non,4997.5,29,2
3,7,Non,5499.85,37,2
4,7,Non,5473,39,2
1,8,Non,5621.05,39,2
2,8,Non,5598.8875,37,2
3,8,Non,5159.6125,34,2
4,8,Non,5754.025,38,2
1,1,Oui,4151.475,27,2
2,1,Oui,5527.5375,37,2
3,1,Oui,4484.8375,30,2
4,1,Oui,4191.3125,27,2
1,2,Oui,4409.375,28,2
2,2,Oui,6165.1625,43,2
3,2,Oui,6235.9375,42,2
4,2,Oui,4532.6875,33,2
1,3,Oui,4992.6,33,2
2,3,Oui,5366.1,37,2
3,3,Oui,5261.275,35,2
4,3,Oui,4914.4375,37,2
1,4,Oui,4188.4125,28,2
2,4,Oui,5006.65,36,2
3,4,Oui,6205.5125,40,2
4,4,Oui,4469.6625,32,2
1,5,Oui,4030.475,28,2
2,5,Oui,5533.225,41,2
3,5,Oui,6065.9375,41,2
4,5,Oui,4290.5375,30,2
1,6,Oui,4371.5875,30,2
2,6,Oui,5275.1375,35,2
3,6,Oui,5370.0875,35,2
4,6,Oui,4301.325,27,2
1,7,Oui,5184.0875,38,2
2,7,Oui,5215.9125,35,2
3,7,Oui,5685.025,37,2
4,7,Oui,5018.0625,32,2
1,8,Oui,4076.6375,26,2
2,8,Oui,5360.7625,36,2
3,8,Oui,5549.175,39,2
4,8,Oui,4998.375,30,2
1,1,Non,4922.6875,37,3
2,1,Non,3915.75,24,3
3,1,Non,4700.25,34,3
4,1,Non,4798.075,35,3
1,2,Non,4266.0125,32,3
2,2,Non,5123.7792,35,3
3,2,Non,4961.75,33,3
4,2,Non,4710.2,32,3
1,3,Non,5091.575,37,3
2,3,Non,4837.6125,31,3
3,3,Non,4906.0875,34,3
4,3,Non,4365.4,31,3
1,4,Non,4598.25,34,3
2,4,Non,4794,33,3
3,4,Non,5415.35,37,3
4,4,Non,4580.5,29,3
1,5,Non,5043.875,35,3
2,5,Non,5105.875,34,3
3,5,Non,5545.1875,34,3
4,5,Non,5571.2375,38,3
1,6,Non,4295.4375,31,3
2,6,Non,4250.3375,29,3
3,6,Non,4894.9375,32,3
4,6,Non,4590.1375,34,3
1,7,Non,4463.1875,31,3
2,7,Non,4997.5,33,3
3,7,Non,5499.85,37,3
4,7,Non,5473,38,3
1,8,Non,5621.05,39,3
2,8,Non,5598.8875,39,3
3,8,Non,5159.6125,36,3
4,8,Non,5754.025,38,3
1,1,Oui,4151.475,31,3
2,1,Oui,5527.5375,37,3
3,1,Oui,4484.8375,28,3
4,1,Oui,4191.3125,30,3
1,2,Oui,4409.375,30,3
2,2,Oui,6165.1625,42,3
3,2,Oui,6235.9375,44,3
4,2,Oui,4532.6875,34,3
1,3,Oui,4992.6,37,3
2,3,Oui,5366.1,38,3
3,3,Oui,5261.275,34,3
4,3,Oui,4914.4375,37,3
1,4,Oui,4188.4125,32,3
2,4,Oui,5006.65,36,3
3,4,Oui,6205.5125,40,3
4,4,Oui,4469.6625,30,3
1,5,Oui,4030.475,30,3
2,5,Oui,5533.225,40,3
3,5,Oui,6065.9375,40,3
4,5,Oui,4290.5375,32,3
1,6,Oui,4371.5875,31,3
2,6,Oui,5275.1375,38,3
3,6,Oui,5370.0875,36,3
4,6,Oui,4301.325,29,3
1,7,Oui,5184.0875,39,3
2,7,Oui,5215.9125,35,3
3,7,Oui,5685.025,39,3
4,7,Oui,5018.0625,35,3
1,8,Oui,4076.6375,29,3
2,8,Oui,5360.7625,35,3
3,8,Oui,5549.175,36,3
4,8,Oui,4998.375,37,3
1,1,Non,4922.6875,41,4
2,1,Non,3915.75,34,4
3,1,Non,4700.25,40,4
4,1,Non,4798.075,38,4
1,2,Non,4266.0125,33,4
2,2,Non,5123.7792,35,4
3,2,Non,4961.75,35,4
4,2,Non,4710.2,34,4
1,3,Non,5091.575,41,4
2,3,Non,4837.6125,39,4
3,3,Non,4906.0875,41,4
4,3,Non,4365.4,34,4
1,4,Non,4598.25,35,4
2,4,Non,4794,37,4
3,4,Non,5415.35,40,4
4,4,Non,4580.5,38,4
1,5,Non,5043.875,40,4
2,5,Non,5105.875,38,4
3,5,Non,5545.1875,42,4
4,5,Non,5571.2375,39,4
1,6,Non,4295.4375,35,4
2,6,Non,4250.3375,32,4
3,6,Non,4894.9375,37,4
4,6,Non,4590.1375,34,4
1,7,Non,4463.1875,34,4
2,7,Non,4997.5,40,4
3,7,Non,5499.85,42,4
4,7,Non,5473,40,4
1,8,Non,5621.05,41,4
2,8,Non,5598.8875,41,4
3,8,Non,5159.6125,41,4
4,8,Non,5754.025,41,4
1,1,Oui,4151.475,36,4
2,1,Oui,5527.5375,42,4
3,1,Oui,4484.8375,35,4
4,1,Oui,4191.3125,33,4
1,2,Oui,4409.375,36,4
2,2,Oui,6165.1625,42,4
3,2,Oui,6235.9375,41,4
4,2,Oui,4532.6875,35,4
1,3,Oui,4992.6,39,4
2,3,Oui,5366.1,41,4
3,3,Oui,5261.275,41,4
4,3,Oui,4914.4375,35,4
1,4,Oui,4188.4125,35,4
2,4,Oui,5006.65,38,4
3,4,Oui,6205.5125,43,4
4,4,Oui,4469.6625,37,4
1,5,Oui,4030.475,31,4
2,5,Oui,5533.225,38,4
3,5,Oui,6065.9375,44,4
4,5,Oui,4290.5375,34,4
1,6,Oui,4371.5875,35,4
2,6,Oui,5275.1375,39,4
3,6,Oui,5370.0875,42,4
4,6,Oui,4301.325,37,4
1,7,Oui,5184.0875,38,4
2,7,Oui,5215.9125,40,4
3,7,Oui,5685.025,39,4
4,7,Oui,5018.0625,42,4
1,8,Oui,4076.6375,31,4
2,8,Oui,5360.7625,40,4
3,8,Oui,5549.175,42,4
4,8,Oui,4998.375,39,4
1,1,Non,4922.6875,40,5
2,1,Non,3915.75,33,5
3,1,Non,4700.25,38,5
4,1,Non,4798.075,38,5
1,2,Non,4266.0125,34,5
2,2,Non,5123.7792,36,5
3,2,Non,4961.75,37,5
4,2,Non,4710.2,36,5
1,3,Non,5091.575,38,5
2,3,Non,4837.6125,37,5
3,3,Non,4906.0875,39,5
4,3,Non,4365.4,32,5
1,4,Non,4598.25,38,5
2,4,Non,4794,38,5
3,4,Non,5415.35,41,5
4,4,Non,4580.5,37,5
1,5,Non,5043.875,39,5
2,5,Non,5105.875,40,5
3,5,Non,5545.1875,41,5
4,5,Non,5571.2375,40,5
1,6,Non,4295.4375,37,5
2,6,Non,4250.3375,31,5
3,6,Non,4894.9375,38,5
4,6,Non,4590.1375,34,5
1,7,Non,4463.1875,36,5
2,7,Non,4997.5,40,5
3,7,Non,5499.85,38,5
4,7,Non,5473,40,5
1,8,Non,5621.05,40,5
2,8,Non,5598.8875,41,5
3,8,Non,5159.6125,39,5
4,8,Non,5754.025,43,5
1,1,Oui,4151.475,32,5
