Block,Aerified,Trt,mar,avr,mai,jun,jul,aug,sep
Two,Y,1,8,7,7.5,6,7,6.5,6.5
One,Y,1,8,6,7,6,7,7,6.5
Three,Y,1,8,7,7,6,7,6.5,6.5
Four,Y,1,8,7,7,6,7,7,6.5
Two,Y,2,8,5.5,7.5,6,7,6.5,5
One,Y,2,8,6,7,6,7,6,4.5
Three,Y,2,8,7,7.5,6,7.5,5.5,5.5
Four,Y,2,8,7,7.5,6,7.5,5.5,5
Two,Y,3,8,7,7.5,5.5,5,5.5,5
One,Y,3,8,7,7.5,5.5,5.5,5.5,5
Three,Y,3,8,7,7.5,6,5.5,4.5,3.5
Four,Y,3,8,7,7.5,6,5.5,5,4
Two,Y,4,8,7,7.5,7,5.5,5,4
One,Y,4,8,7,7.5,5.5,5.5,5.5,4.5
Three,Y,4,8,7,7.5,5.5,5.5,5,4.5
Four,Y,4,8,7,7.5,6,5.5,5,4
Two,Y,5,8,7,7.5,5,5,5,4.5
One,Y,5,8,7,7.5,7,5.5,5,3.5
Three,Y,5,8,7,7.5,6,5,5,4.5
Four,Y,5,8,7,7.5,5.5,5,4,3.5
Two,Y,6,8,7,7.5,5,4.5,5,4.5
One,Y,6,8,7,7.5,6,5.5,5,5
Three,Y,6,8,7,7.5,7,7,5,4
Four,Y,6,8,7,7.5,7,7,5.5,5
Two,Y,7,8,7,7.5,5,5,5,4
One,Y,7,8,7,7.5,6,5,5,4.5
Three,Y,7,8,7,7.5,7,5.5,5,4
Four,Y,7,8,7,7.5,5.5,5,5,4
Two,Y,8,8,7,7.5,5,5.5,4.5,3.5
One,Y,8,8,7,7.5,5.5,4.5,3,3
Three,Y,8,8,7,7.5,5,5,4.5,4
Four,Y,8,8,7,7.5,5,4,3,3
One,N,1,8,6,7,6,7,7,7.5
Two,N,1,8,6,7,6,6,6.5,6.5
Four,N,1,8,6.5,7.5,6,7,7,6.5
Three,N,1,8,6.5,7.5,7,7,7,6.5
One,N,2,8,6,7.5,6,7,5.5,5
Two,N,2,8,6.5,7.5,6,7,5.5,5.5
Four,N,2,8,6.5,7.5,6,7,5.5,4.5
Three,N,2,8,6.5,7.5,6,8,5.5,5
One,N,3,8,6.5,7.5,5.5,5.5,5.5,5.5
Two,N,3,8,6.5,7.5,6,5.5,5,4.5
Four,N,3,8,6.5,7.5,5.5,5,5,3.5
Three,N,3,8,7,7.5,6,5.5,4,4
One,N,4,8,6.5,7.5,6,5.5,5.5,5
Two,N,4,8,6.5,7.5,7,8,3.5,3.5
Four,N,4,8,6.5,7.5,6,5,5,4.5
Three,N,4,8,6.5,7.5,6,5.5,5,4.5
One,N,5,8,6.5,7.5,5.5,4.5,3.5,3
Two,N,5,8,6.5,7.5,5.5,5,5,4.5
Four,N,5,8,6.5,7.5,5.5,5,4,3.5
Three,N,5,8,6,7.5,6,5,5,4.5
One,N,6,8,6.5,7.5,6,5.5,5.5,5
Two,N,6,8,6.5,7.5,5,4,5,4
Four,N,6,8,6.5,7.5,6,7,5.5,5
Three,N,6,8,6.5,7.5,6,5,5,3.5
One,N,7,8,6.5,7.5,6,5.5,5,4.5
Two,N,7,8,6.5,7.5,7,5,5,4
Four,N,7,8,6.5,7.5,5.5,5,5,3.5
Three,N,7,8,6.5,7.5,5.5,5.5,5,4.5
One,N,8,8,6.5,7.5,5.5,5,4,3.5
Two,N,8,8,6.5,7.5,4.5,3.5,3.5,3.5
Four,N,8,8,6.5,7.5,5.5,5,3,3
Three,N,8,8,6,7.5,5,4.5,4,4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
